,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_CHILDREN,CNT_FAM_MEMBERS,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,REGION_POPULATION_RELATIVE,TARGET
AMT_INCOME_TOTAL,1.0,0.14380915539766337,0.17473617331714852,0.14619840908360351,0.02468665568980161,-0.012417358222551599,0.025405562986646358,0.007317937685576726,0.012004168242572751,0.01530202826854513,0.024287979929554167,0.054999640618081276,-0.027722754879029272,0.06807704057444337,-0.0027270042041457276
AMT_CREDIT,0.14380915539766337,1.0,0.7701627832508693,0.9869995363084184,-0.057427647740669246,-0.09108999642483938,0.009979815991983028,-0.0068582181630601,0.002400622848422996,0.06424468266298365,0.17038141902069587,0.1323981670513367,0.045832675571084475,0.10160070560971199,-0.030803237276023576
AMT_ANNUITY,0.17473617331714852,0.7701627832508693,1.0,0.7753097770841013,0.007327377070190928,-0.053964709405770216,0.039208373590542286,0.009981634432946643,0.021199691260509433,0.07626770782387252,0.12157929285629586,0.1254655443647315,0.03262506140217432,0.11950275664875912,-0.01273437914011724
AMT_GOODS_PRICE,0.14619840908360351,0.9869995363084184,0.7753097770841013,1.0,-0.055317561509592744,-0.09312555508679823,0.011866018010523017,-0.009477576930361095,-0.0017314540954088706,0.0621828276577471,0.17746829089762595,0.14048356648641122,0.04993693505976846,0.1051553686382287,-0.03989457820533499
DAYS_BIRTH,0.02468665568980161,-0.057427647740669246,0.007327377070190928,-0.055317561509592744,1.0,0.35243970302193794,0.33301872269775995,0.27315748650113714,0.330947653946249,0.2782663159280449,-0.6011115841206406,-0.09297863348022913,-0.20707906860572203,-0.03012407313443456,0.0794671085630585
DAYS_EMPLOYED,-0.012417358222551599,-0.09108999642483938,-0.053964709405770216,-0.09312555508679823,0.35243970302193794,1.0,0.1708340261696329,0.08983284313695074,0.059103403536736675,0.026440494092096055,-0.253875734061971,-0.09358507143166879,-0.13061030105662638,0.003982661890927008,0.07515187022676136
DAYS_REGISTRATION,0.025405562986646358,0.009979815991983028,0.039208373590542286,0.011866018010523017,0.33301872269775995,0.1708340261696329,1.0,0.10242088089317683,0.1843389751262294,0.17454660756381205,-0.18137381998245858,-0.06016114826145953,-0.10770098069221772,-0.053663080945150814,0.042126515369041974
DAYS_ID_PUBLISH,0.007317937685576726,-0.0068582181630601,0.009981634432946643,-0.009477576930361095,0.27315748650113714,0.08983284313695074,0.10242088089317683,1.0,-0.027128636940543602,-0.01968173794386035,-0.1324285436008029,-0.05144900900535401,-0.13037779505189032,-0.006311667296287347,0.04958195834797234
CNT_CHILDREN,0.012004168242572751,0.002400622848422996,0.021199691260509433,-0.0017314540954088706,0.330947653946249,0.059103403536736675,0.1843389751262294,-0.027128636940543602,1.0,0.8784596583722176,-0.1385357306084122,-0.017336337987702167,-0.04348097139538427,-0.02641166655459411,0.020347118799840264
CNT_FAM_MEMBERS,0.01530202826854513,0.06424468266298365,0.07626770782387252,0.0621828276577471,0.2782663159280449,0.026440494092096055,0.17454660756381205,-0.01968173794386035,0.8784596583722176,1.0,-0.09610096105792776,-0.0008036660489480296,-0.028219190353647044,-0.024927434211231385,0.009804416146227868
EXT_SOURCE_1,0.024287979929554167,0.17038141902069587,0.12157929285629586,0.17746829089762595,-0.6011115841206406,-0.253875734061971,-0.18137381998245858,-0.1324285436008029,-0.1385357306084122,-0.09610096105792776,1.0,0.214366725667904,0.18894162675353585,0.10018812141696862,-0.15536189445697074
EXT_SOURCE_2,0.054999640618081276,0.1323981670513367,0.1254655443647315,0.14048356648641122,-0.09297863348022913,-0.09358507143166879,-0.06016114826145953,-0.05144900900535401,-0.017336337987702167,-0.0008036660489480296,0.214366725667904,1.0,0.10989285782295777,0.19894027712080928,-0.15959300426922524
EXT_SOURCE_3,-0.027722754879029272,0.045832675571084475,0.03262506140217432,0.04993693505976846,-0.20707906860572203,-0.13061030105662638,-0.10770098069221772,-0.13037779505189032,-0.04348097139538427,-0.028219190353647044,0.18894162675353585,0.10989285782295777,1.0,-0.006083445482160803,-0.17884512179843745
REGION_POPULATION_RELATIVE,0.06807704057444337,0.10160070560971199,0.11950275664875912,0.1051553686382287,-0.03012407313443456,0.003982661890927008,-0.053663080945150814,-0.006311667296287347,-0.02641166655459411,-0.024927434211231385,0.10018812141696862,0.19894027712080928,-0.006083445482160803,1.0,-0.037165720401751506
TARGET,-0.0027270042041457276,-0.030803237276023576,-0.01273437914011724,-0.03989457820533499,0.0794671085630585,0.07515187022676136,0.042126515369041974,0.04958195834797234,0.020347118799840264,0.009804416146227868,-0.15536189445697074,-0.15959300426922524,-0.17884512179843745,-0.037165720401751506,1.0
