feature,mean_absolute_shap
EXT_SOURCE_2,0.31453764
EXT_SOURCE_3,0.26855543
EXT_SOURCE_1,0.16076154
ANNUITY_CREDIT_RATIO,0.12215828
BUREAU_DEBT_CREDIT_RATIO_MAX,0.11160061
AMT_ANNUITY,0.10443572
CREDIT_GOODS_RATIO,0.0972662
DAYS_EMPLOYED,0.09603938
PREV_PAYMENT_COUNT_MAX,0.09463217
INST_AMOUNT_PAID_SUM,0.09069253
INST_LATE_RATE,0.090568066
DAYS_BIRTH,0.080219835
PREV_ANNUITY_MEAN,0.071580246
PREV_CREDIT_APPLICATION_RATIO_MEAN,0.067197725
AMT_GOODS_PRICE,0.0663729
OWN_CAR_AGE,0.06406565
CODE_GENDER_M,0.062223222
CODE_GENDER_F,0.058345266
NAME_FAMILY_STATUS_Married,0.053636394
NAME_EDUCATION_TYPE_Higher education,0.053542145
PREV_DAYS_DECISION_MEAN,0.05024387
DAYS_ID_PUBLISH,0.0471665
ANNUITY_INCOME_RATIO,0.04376059
PREV_REFUSED_RATE,0.043099977
INST_TOTAL_PAYMENT_RATIO,0.04222487
BUREAU_DAYS_CREDIT_MAX,0.041304953
DOCUMENT_FLAG_COUNT,0.040801667
BUREAU_DEBT_CREDIT_RATIO_MEAN,0.040648658
PREV_CONSUMER_RATE,0.040000048
BUREAU_DAYS_CREDIT_MEAN,0.038254194
PREV_DOWN_PAYMENT_MEAN,0.037878938
FLAG_WORK_PHONE,0.036514077
REGION_RATING_CLIENT_W_CITY,0.036187656
BUREAU_CREDIT_SUM_MAX,0.033131212
BUREAU_CREDIT_SUM_SUM,0.030892685
INST_DAYS_LATE_MEAN,0.030681035
REGION_POPULATION_RELATIVE,0.029926013
PREV_PAYMENT_COUNT_MEAN,0.029556077
INST_DAYS_LATE_MAX,0.027674314
PREV_ANNUITY_CREDIT_RATIO_MEAN,0.02752325
DAYS_LAST_PHONE_CHANGE,0.027143806
INST_SHORTFALL_MAX,0.026468953
BUREAU_DEBT_MAX,0.025173057
AMT_REQ_CREDIT_BUREAU_QRT,0.025158616
AMT_CREDIT,0.024651641
BB_CURRENT_RATE_MEAN,0.023579888
BUREAU_TOTAL_DEBT_CREDIT_RATIO,0.023489486
FLAG_OWN_CAR_N,0.023006517
BUREAU_DAYS_UPDATE_MEAN,0.022804607
FLAG_DOCUMENT_3,0.022329085
BB_RECORD_COUNT_SUM,0.022022018
REG_CITY_NOT_LIVE_CITY,0.021976521
NAME_EDUCATION_TYPE_Secondary / secondary special,0.021830002
ORGANIZATION_TYPE_Self-employed,0.021508496
BUREAU_CREDIT_SUM_MEAN,0.021049304
PREV_CREDIT_AMOUNT_MAX,0.02092796
DEF_30_CNT_SOCIAL_CIRCLE,0.020825716
DAYS_REGISTRATION,0.020621326
PREV_CASH_RATE,0.019478757
PREV_APPROVED_COUNT,0.018033976
PREV_DAYS_DECISION_MAX,0.017541474
NAME_INCOME_TYPE_Working,0.017071484
BUREAU_CREDIT_DURATION_MEAN,0.01614909
BUREAU_CLOSED_RATE,0.016020099
CREDIT_INCOME_RATIO,0.015469818
DEF_60_CNT_SOCIAL_CIRCLE,0.01545479
OCCUPATION_TYPE_Core staff,0.015399116
PREV_CREDIT_AMOUNT_MEAN,0.015335495
AMT_REQ_CREDIT_BUREAU_YEAR,0.01528192
BUREAU_DEBT_MEAN,0.014955407
AMT_INCOME_TOTAL,0.014146903
ORGANIZATION_TYPE_Business Entity Type 3,0.013943014
INST_AMOUNT_DUE_SUM,0.0137005225
PREV_APPLICATION_AMOUNT_MAX,0.013445307
PREV_APPLICATION_AMOUNT_MEAN,0.013403657
BUREAU_ACTIVE_COUNT,0.012947566
INST_DAYS_LATE_SUM,0.012903637
BUREAU_DEBT_SUM,0.012193803
WEEKDAY_APPR_PROCESS_START_MONDAY,0.011854102
INST_VERSION_MAX,0.011655025
HOUR_APPR_PROCESS_START,0.0109523535
CNT_CHILDREN,0.010507275
BUREAU_ANNUITY_MEAN,0.010356733
INCOME_PER_FAMILY_MEMBER,0.0098223835
INST_UNDERPAID_RATE,0.009796905
INST_PAYMENT_RATIO_MEAN,0.00907448
INST_PAYMENT_RATIO_SUM,0.008982337
BUREAU_ACTIVE_RATE,0.008667938
OBS_60_CNT_SOCIAL_CIRCLE,0.008452578
PREV_APPROVED_RATE,0.008332817
ORGANIZATION_TYPE_Construction,0.008224782
BUREAU_CLOSED_COUNT,0.008183132
BB_DELINQUENT_RATE_MEAN,0.0081058815
FLAG_PHONE,0.0079938965
NAME_INCOME_TYPE_State servant,0.00797322
ORGANIZATION_TYPE_School,0.007721527
INST_RECORD_COUNT,0.0075925128
INST_UNDERPAID_COUNT,0.0074588726
PREV_GOODS_PRICE_MEAN,0.0073878504
OCCUPATION_TYPE_Accountants,0.0072307917
FLAG_DOCUMENT_8,0.0072234776
INST_PAYMENT_OBS_COUNT,0.0066214977
OCCUPATION_TYPE_Drivers,0.0065924437
INST_SHORTFALL_SUM,0.0065462063
BUREAU_CREDIT_TYPES_NUNIQUE,0.0065423106
NAME_FAMILY_STATUS_Single / not married,0.0065132226
PREV_INSURED_RATE,0.006403701
CONTACT_FLAG_COUNT,0.0061755306
INST_SHORTFALL_MEAN,0.005972107
INST_LATE_COUNT,0.0057792733
BUREAU_RECORD_COUNT,0.0057533835
BB_CLOSED_RATE_MEAN,0.0056542624
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.004932229
OCCUPATION_TYPE_Missing,0.0048619243
NAME_CONTRACT_TYPE_Cash loans,0.0048384718
INST_PREVIOUS_LOAN_NUNIQUE,0.004666758
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0043838974
ORGANIZATION_TYPE_Military,0.004104547
OBS_30_CNT_SOCIAL_CIRCLE,0.0040955283
OCCUPATION_TYPE_High skill tech staff,0.0038825346
PREV_APPLICATION_COUNT,0.0035991054
ORGANIZATION_TYPE_Industry: type 9,0.0035259286
ORGANIZATION_TYPE_Transport: type 3,0.0033605178
CNT_FAM_MEMBERS,0.003252312
BB_DELINQUENT_RATE_MAX,0.0030265055
INST_PAYMENT_RATIO_COUNT,0.0030259222
FLAG_DOCUMENT_6,0.0029623213
OCCUPATION_TYPE_Laborers,0.0029265096
BUREAU_PROLONG_COUNT_SUM,0.00289958
ORGANIZATION_TYPE_Other,0.0027859716
PREV_CANCELED_COUNT,0.0027058446
BUREAU_OVERDUE_AMOUNT_SUM,0.0026127931
ORGANIZATION_TYPE_Medicine,0.0024915352
BB_SEVERE_RATE_MEAN,0.0022366354
AMT_REQ_CREDIT_BUREAU_MON,0.002125287
NAME_TYPE_SUITE_Unaccompanied,0.0020595149
PREV_REFUSED_COUNT,0.002031815
OCCUPATION_TYPE_Medicine staff,0.001928762
ORGANIZATION_TYPE_Police,0.0019096535
NAME_EDUCATION_TYPE_Lower secondary,0.001869805
REGION_RATING_CLIENT,0.0017778835
BB_DELINQUENT_COUNT_SUM,0.0017537883
ORGANIZATION_TYPE_Kindergarten,0.0016327079
ORGANIZATION_TYPE_Trade: type 7,0.0016148621
OCCUPATION_TYPE_Low-skill Laborers,0.0015801926
FLAG_DOCUMENT_11,0.0015797669
AMT_REQ_CREDIT_BUREAU_DAY,0.0015220658
ADDRESS_MISMATCH_COUNT,0.0014058235
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.001351166
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.001349273
ORGANIZATION_TYPE_Security Ministries,0.0013442588
NAME_FAMILY_STATUS_Widow,0.0013322175
REG_REGION_NOT_LIVE_REGION,0.0012450289
ORGANIZATION_TYPE_Government,0.0012251356
ORGANIZATION_TYPE_Bank,0.0011892633
REG_REGION_NOT_WORK_REGION,0.0011684565
ORGANIZATION_TYPE_Realtor,0.001162657
DAYS_EMPLOYED_ANOM,0.0011097204
ORGANIZATION_TYPE_Business Entity Type 1,0.0010663097
NAME_INCOME_TYPE_Commercial associate,0.0010121777
FLAG_OWN_CAR_Y,0.0009836459
ORGANIZATION_TYPE_Trade: type 2,0.00093039864
ORGANIZATION_TYPE_Industry: type 3,0.0009102799
BUREAU_OVERDUE_AMOUNT_MAX,0.0008654903
LIVE_CITY_NOT_WORK_CITY,0.00084165414
FLAG_OWN_REALTY_N,0.00079391565
BB_SEVERE_COUNT_SUM,0.0007756343
NAME_FAMILY_STATUS_Civil marriage,0.0007730842
OCCUPATION_TYPE_Private service staff,0.00066184794
FLAG_DOCUMENT_18,0.0006558927
NAME_TYPE_SUITE_Other_B,0.0006523485
NAME_EDUCATION_TYPE_Incomplete higher,0.00058581325
OCCUPATION_TYPE_Waiters/barmen staff,0.0005817549
ORGANIZATION_TYPE_Trade: type 6,0.0005587804
OCCUPATION_TYPE_Cooking staff,0.00054296735
ORGANIZATION_TYPE_Industry: type 12,0.0005229101
OCCUPATION_TYPE_Managers,0.0005171396
BUREAU_OVERDUE_RATE,0.00050185935
FLAG_EMAIL,0.0005003068
NAME_TYPE_SUITE_Missing,0.00048180437
ORGANIZATION_TYPE_Business Entity Type 2,0.00047925004
OCCUPATION_TYPE_Sales staff,0.00045940577
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0004514989
NAME_TYPE_SUITE_Children,0.00041133902
AMT_REQ_CREDIT_BUREAU_WEEK,0.00040818143
"NAME_TYPE_SUITE_Spouse, partner",0.00034315593
ORGANIZATION_TYPE_Hotel,0.0003295066
REG_CITY_NOT_WORK_CITY,0.00032057657
ORGANIZATION_TYPE_Restaurant,0.0003185997
ORGANIZATION_TYPE_Industry: type 5,0.00031311603
FLAG_DOCUMENT_13,0.0002473238
ORGANIZATION_TYPE_Transport: type 2,0.00024706146
FLAG_CONT_MOBILE,0.00023198617
ORGANIZATION_TYPE_Services,0.00019942538
ORGANIZATION_TYPE_Trade: type 3,0.00018730563
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.00016953518
ORGANIZATION_TYPE_Advertising,0.00015269688
FLAG_DOCUMENT_16,0.00013907246
LIVE_REGION_NOT_WORK_REGION,0.000138407
OCCUPATION_TYPE_Security staff,0.00012804705
NAME_TYPE_SUITE_Family,0.00012301798
ORGANIZATION_TYPE_Postal,0.0001039133
ORGANIZATION_TYPE_Industry: type 1,9.7091426e-05
ORGANIZATION_TYPE_Security,7.6002565e-05
NAME_FAMILY_STATUS_Separated,6.396717e-05
ORGANIZATION_TYPE_Industry: type 4,0.0
