feature,number_of_processed_columns,mean_absolute_grouped_shap
EXT_SOURCE_2,1,0.31453752517700195
EXT_SOURCE_3,1,0.2685551047325134
EXT_SOURCE_1,1,0.16076143085956573
ANNUITY_CREDIT_RATIO,1,0.12215816974639893
CODE_GENDER,3,0.12056858092546463
BUREAU_DEBT_CREDIT_RATIO_MAX,1,0.11160057783126831
AMT_ANNUITY,1,0.10443577915430069
CREDIT_GOODS_RATIO,1,0.09726614505052567
DAYS_EMPLOYED,1,0.09603934735059738
PREV_PAYMENT_COUNT_MAX,1,0.09463220089673996
INST_AMOUNT_PAID_SUM,1,0.09069259464740753
INST_LATE_RATE,1,0.09056808799505234
DAYS_BIRTH,1,0.08021986484527588
NAME_EDUCATION_TYPE,5,0.07315671443939209
PREV_ANNUITY_MEAN,1,0.07158025354146957
PREV_CREDIT_APPLICATION_RATIO_MEAN,1,0.06719766557216644
AMT_GOODS_PRICE,1,0.06637289375066757
OWN_CAR_AGE,1,0.06406566500663757
NAME_FAMILY_STATUS,6,0.05796269327402115
PREV_DAYS_DECISION_MEAN,1,0.05024387687444687
DAYS_ID_PUBLISH,1,0.04716653376817703
ORGANIZATION_TYPE,58,0.04693768173456192
ANNUITY_INCOME_RATIO,1,0.043760620057582855
PREV_REFUSED_RATE,1,0.043099984526634216
INST_TOTAL_PAYMENT_RATIO,1,0.04222489893436432
BUREAU_DAYS_CREDIT_MAX,1,0.04130496084690094
DOCUMENT_FLAG_COUNT,1,0.040801677852869034
BUREAU_DEBT_CREDIT_RATIO_MEAN,1,0.040648624300956726
PREV_CONSUMER_RATE,1,0.0400000624358654
BUREAU_DAYS_CREDIT_MEAN,1,0.038254205137491226
PREV_DOWN_PAYMENT_MEAN,1,0.03787891939282417
FLAG_WORK_PHONE,1,0.03651408478617668
REGION_RATING_CLIENT_W_CITY,1,0.03618767112493515
BUREAU_CREDIT_SUM_MAX,1,0.03313121199607849
BUREAU_CREDIT_SUM_SUM,1,0.030892718583345413
INST_DAYS_LATE_MEAN,1,0.030681023374199867
REGION_POPULATION_RELATIVE,1,0.02992599457502365
PREV_PAYMENT_COUNT_MEAN,1,0.029556086286902428
INST_DAYS_LATE_MAX,1,0.027674300596117973
PREV_ANNUITY_CREDIT_RATIO_MEAN,1,0.02752324938774109
OCCUPATION_TYPE,19,0.027288340032100677
DAYS_LAST_PHONE_CHANGE,1,0.027143800631165504
