feature,importance,mean_absolute_shap,gain_rank,shap_rank
EXT_SOURCE_2,0.050274376,0.31453764,1.0,1.0
EXT_SOURCE_3,0.050159752,0.26855543,2.0,2.0
EXT_SOURCE_1,0.0159198,0.16076154,9.0,3.0
ANNUITY_CREDIT_RATIO,0.007616964,0.12215828,22.0,4.0
BUREAU_DEBT_CREDIT_RATIO_MAX,0.017622458,0.11160061,5.0,5.0
AMT_ANNUITY,0.006457534,0.10443572,28.0,6.0
CREDIT_GOODS_RATIO,0.016619394,0.0972662,7.0,7.0
DAYS_EMPLOYED,0.013325757,0.09603938,11.0,8.0
PREV_PAYMENT_COUNT_MAX,0.008835065,0.09463217,20.0,9.0
INST_AMOUNT_PAID_SUM,0.012409667,0.09069253,14.0,10.0
INST_LATE_RATE,0.013313088,0.090568066,12.0,11.0
DAYS_BIRTH,0.0061104177,0.080219835,31.0,12.0
PREV_ANNUITY_MEAN,0.0039945324,0.071580246,62.0,13.0
PREV_CREDIT_APPLICATION_RATIO_MEAN,0.010942473,0.067197725,16.0,14.0
AMT_GOODS_PRICE,0.005877113,0.0663729,36.0,15.0
OWN_CAR_AGE,0.0075528943,0.06406565,24.0,16.0
CODE_GENDER_M,0.016678331,0.062223222,6.0,17.0
CODE_GENDER_F,0.022913648,0.058345266,4.0,18.0
NAME_FAMILY_STATUS_Married,0.0059261187,0.053636394,34.0,19.0
NAME_EDUCATION_TYPE_Higher education,0.03609446,0.053542145,3.0,20.0
PREV_DAYS_DECISION_MEAN,0.0050807763,0.05024387,44.0,21.0
DAYS_ID_PUBLISH,0.00381038,0.0471665,66.0,22.0
ANNUITY_INCOME_RATIO,0.0052899485,0.04376059,41.0,23.0
PREV_REFUSED_RATE,0.012802631,0.043099977,13.0,24.0
INST_TOTAL_PAYMENT_RATIO,0.00757032,0.04222487,23.0,25.0
BUREAU_DAYS_CREDIT_MAX,0.004482696,0.041304953,52.0,26.0
DOCUMENT_FLAG_COUNT,0.010115123,0.040801667,18.0,27.0
BUREAU_DEBT_CREDIT_RATIO_MEAN,0.013855683,0.040648658,10.0,28.0
PREV_CONSUMER_RATE,0.0035741099,0.040000048,76.0,29.0
BUREAU_DAYS_CREDIT_MEAN,0.005881102,0.038254194,35.0,30.0
PREV_DOWN_PAYMENT_MEAN,0.0053709145,0.037878938,40.0,31.0
FLAG_WORK_PHONE,0.004364816,0.036514077,53.0,32.0
REGION_RATING_CLIENT_W_CITY,0.0075310883,0.036187656,25.0,33.0
BUREAU_CREDIT_SUM_MAX,0.0037203135,0.033131212,69.0,34.0
BUREAU_CREDIT_SUM_SUM,0.0050333315,0.030892685,45.0,35.0
INST_DAYS_LATE_MEAN,0.0061356076,0.030681035,30.0,36.0
REGION_POPULATION_RELATIVE,0.0028091217,0.029926013,139.0,37.0
PREV_PAYMENT_COUNT_MEAN,0.0040458147,0.029556077,59.0,38.0
INST_DAYS_LATE_MAX,0.0034405487,0.027674314,83.0,39.0
PREV_ANNUITY_CREDIT_RATIO_MEAN,0.0040019206,0.02752325,61.0,40.0
DAYS_LAST_PHONE_CHANGE,0.0034923255,0.027143806,80.0,41.0
INST_SHORTFALL_MAX,0.0036143872,0.026468953,74.0,42.0
BUREAU_DEBT_MAX,0.0037805042,0.025173057,67.0,43.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0042483113,0.025158616,57.0,44.0
AMT_CREDIT,0.005223938,0.024651641,42.0,45.0
BB_CURRENT_RATE_MEAN,0.0031021168,0.023579888,112.0,46.0
BUREAU_TOTAL_DEBT_CREDIT_RATIO,0.0036759018,0.023489486,71.0,47.0
FLAG_OWN_CAR_N,0.009204505,0.023006517,19.0,48.0
BUREAU_DAYS_UPDATE_MEAN,0.0026781939,0.022804607,151.0,49.0
FLAG_DOCUMENT_3,0.01025296,0.022329085,17.0,50.0
BB_RECORD_COUNT_SUM,0.0029761842,0.022022018,121.0,51.0
REG_CITY_NOT_LIVE_CITY,0.007321953,0.021976521,26.0,52.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.011160066,0.021830002,15.0,53.0
ORGANIZATION_TYPE_Self-employed,0.0054592844,0.021508496,39.0,54.0
BUREAU_CREDIT_SUM_MEAN,0.0037687344,0.021049304,68.0,55.0
PREV_CREDIT_AMOUNT_MAX,0.003152336,0.02092796,104.0,56.0
DEF_30_CNT_SOCIAL_CIRCLE,0.008219524,0.020825716,21.0,57.0
DAYS_REGISTRATION,0.0031279447,0.020621326,107.0,58.0
